interaction_id,question_id,Problem,category,student_id,student_process,concepts_of_the_problem,concepts_lacking_in_student,response
2196,11375,the cost price of an article is 25 % of the marked price . calculate the gain percent after allowing a discount of 50 % .,gain,4,assume the original price $X$ $$ \cos t=0.25 x $$ $50 \%$ discount $\Rightarrow$ selling price $0.5 x$ $$ \begin{aligned} \text { gain percent }= & \frac{0.5 x-0.25 x}{0.5 x} \\ & =50 \% \end{aligned} $$,Discount Problem && Profit,Profit,0
2197,10198,"water boils at 212 簞 f or 100 簞 c and ice melts at 32 簞 f or 0 簞 c . if the temperature of a pot of water is 40 簞 c , what is the temperature of the pot of water in 簞 f ?",physics,4,\begin{aligned} & \left\{\begin{array}{l} x \times 100+y=2+2 \\ x 0+y=32 \end{array}\right. \\ & y=32 \\ & x=1.8 \\ & \Rightarrow{ }^{\circ} \mathrm{C} \times 1.8+32=\circ \\ & 40 \times 1.8+32=104^{\circ} \mathrm{f} \end{aligned},Unit Conversion,No,1
2198,9302,"by selling 90 pens , a trader gains the cost of 30 pens . find his gain percentage ?",gain,4,"assume selling price of a pen $x$, cost $y$ $$ \begin{aligned} & 90 x-90 y=30 y \\ & \text { request }=\frac{x-y}{x}=1-\frac{y}{x}=1-\frac{3}{4}=25 \% \\ & 90 x=120 y \\ & \frac{y}{x}=\frac{3}{4} \end{aligned} $$",Profit,No,0
2199,9820,"on a sum of money , the simple interest for 2 years is rs . 320 , while the compound interest is rs . 340 , the rate of interest being the same in both the cases . the rate of interest is",gain,4,"assume the principle $x$, interest $i$ $$ \begin{aligned} & \left\{\begin{array}{l} x \times(1+i \times 2)=320 \\ x \times(1+i)^2=340 \end{array}\right. \\ & \left\{\begin{array}{l} x+2 \times i=320 \\ x i^2+2 x i+x=340 \end{array}\right. \\ & x i^2=20 \\ & x+2 \times 20=320 \\ & x=280 \\ & l=\frac{40}{560} = 7.14 \%  \end{aligned} $$",Simple Interest && Compound Interest,No,0
2200,10570,increasing the original price of a certain item by 30 percent and then increasing the new price by 30 percent is equivalent to increasing the original price by what percent ?,gain,4,assume the original price $X$ $$ \begin{aligned} \text { new price } & =x x(1+30 \%)^2 \\ & =1.69 x \\ \frac{1.69 x-x}{x} & \\ & =0.69=69 \% \end{aligned} $$,Ratio Calculation,No,1
2201,9891,"what is the sum of 80 consecutive integers from - 39 inclusive , in a increasing order ?",general,4,\begin{aligned} & a_1=-39 \quad a_{80}=40 \\ & \begin{aligned} s_{u m} & =\frac{(-39+40) \times 80}{2} \\ & =40 \end{aligned} \end{aligned},Arithmetic Sequence/Series,No,1
2202,11988,"a women purchased 3 towels @ rs . 100 each , 5 towels @ rs . 150 each and two towels at a certain rate which is now slipped off from his memory . but she remembers that the average price of the towels was rs . 155 . find the unknown rate of two towels ?",general,4,assumes the unknown towel price $X$ $$ \begin{aligned} & \frac{3 \times 100+5 \times 150+2 \times x}{10}=155 \\ & 1050+2 x=1550 \\ & x=250(rs) \end{aligned} $$,Arithmetic Mean,No,0
2203,1711,"a gambler has won 40 % of his 30 poker games for the week so far . if , all of a sudden , his luck changes and he begins winning 70 % of the time , how many more games must he play to end up winning 60 % of all his games for the week ?",gain,4,games already win $=30 \times 40 \%=12$ assume he still need $x$ games $$ \begin{aligned} & \frac{12+x \times 20 \%}{30+x}=60 \% \\ & 12+0.7 x=18+0.6 x \\ & x=60 \text { (games) } \end{aligned} $$,Arithmetic Mean,No,1
2204,10500,a sum fetched a total simple interest of rs . 100 at the rate of 5 p . c . p . a . in 4 years . what is the sum ?,gain,4,\begin{aligned} & 100 \times(1+5 \% \times 4) \\ = & 120(\mathrm{rs})  \end{aligned},Simple Interest,No,0
2205,1554,two trains are moving in opposite directions with speed of 70 km / hr and 90 km / hr respectively . their lengths are 1.10 km and 0.9 km respectively . the slower train cross the faster train in - - - seconds,physics,4,\begin{aligned} & \text { relative speed }=70+90=160 \mathrm{~km} / \mathrm{hr} \\ &=\frac{100}{\frac{1000}{45}} \mathrm{~km} / \mathrm{sec} \\ &=\frac{2}{45} \mathrm{~km} / \mathrm{sec} \\ & \frac{1.1+29}{\frac{2}{45}}=45(\mathrm{sec}) \end{aligned},Distance-Time-Speed && Relative Speed,No,1
2206,1852,a library has an average of 510 visitors on sunday and 240 on other days . the average number of visitors per day in a month of 30 days beginning with a sunday is,general,4,\begin{aligned} & \text { days of Sunday }=5 \\ & \text { other days }=30-5=25 \\ & \frac{5 \times 510+25 \times 240}{30} \\ & =\frac{2550+6000}{30} \\ & =\frac{855}{3} \\ & =275 \text { (people per day) } \end{aligned},Arithmetic Mean,No,0
2207,10481,in a party every person shakes hands with every other person . if there were a total of 153 handshakes in the party then what is the number of persons present in the party ?,general,4,"assume there are X people $$ c_2^x=153 $$ $$ \frac{x(x+)}{2}=153 $$ $\begin{array}{cc}1 & 1 \\ 1 & -18\end{array}$ $$ \begin{aligned} & x^2-x-306=0 \\ & (x+17)(x-18)=0 \end{aligned} $$ $x=18,17$ (negative isn't suitable) $A_n=18$ people",Permutations and Combinations,No,1
2208,11191,"a is older than b by 5 years . 7 years hence , thrice a ' s age shall be equal to 4 times that of b . find their present ages .",general,4,"\begin{aligned} & \left\{\begin{array}{l} a-b=5 \\ 3(a+1)=4(b+7) \end{array}\right. \\ & \left\{\begin{array}{l} 3 a-3 b=15 \\ 3 a-4 b=7 \end{array}\right. \\ & \text { Ans: } b=8, a=13 \end{aligned}",Expression and Operations with Symbols,No,1
2209,12159,find the 12 th term of an arithmetic progression whose first term is 2 and the common difference is 8 .,general,4,"\begin{aligned} a_1 & =2, d=8 \\ a_{12} & =a_1+11 d \\ & =90 \end{aligned}",Arithmetic Sequence/Series,No,1
2210,10976,"in a division sum , the remainder is 0 . as student mistook the divisor by 12 instead of 21 and obtained 63 as quotient . what is the correct quotient ?",general,4,assume the ordinal number $X$ $$ \begin{aligned} & x \div 12=63 \cdots 0 \\ & x=156 \end{aligned} $$ $$ 756 \div 21=36 $$,Basic Math Operations,No,1
2211,9808,"the ages of patrick and michael are in the ratio of 3 : 5 and that of michael and monica are in the ratio of 3 : 4 . if the sum of their ages is 132 , what is the difference between the ages of patrick and monica ?",general,4,"assent Patrick's age $X$, Michael $Y$, Monica Z $$ \begin{aligned} & x: y=3=5 \\ & y: z=3: 4 \\ & x: y=z=9=15: 20 \\ & 9 \alpha+15 \alpha+20 \alpha=132 \\ & \alpha=3 \\ & x=21, \quad y=15, \quad z=60 \\ & |x-y|=33 x \end{aligned} $$",Ratio Calculation,No,1
2212,9967,"two employees a and b are paid a total of rs . 580 per week by their employer . if a is paid 150 percent of the sum paid to b , how much is b paid per week ?",general,4,\begin{aligned} & \left\{\begin{array}{l} a+b=580 \\ a=1.5 b \end{array}\right. \\ & 2.5 b=580 \\ & b=232(r s) \end{aligned},Expression and Operations with Symbols,No,1
2213,9377,"renu can do a piece of work in 6 days , but with the help of her friend suma , she can do it in 3 days . in what time suma can do it alone ?",physics,4,"the work speed of Rem is $\frac{1}{6}$, assume the work speed of Sum a is $X$, $$ \begin{aligned} & \frac{1}{\frac{1}{6}+x}=3 \\ & \frac{1}{2}+3 x=1 \\ & 3 x=\frac{1}{2} \\ & x=\frac{1}{6} \end{aligned} $$ Sima need $\frac{1}{\frac{1}{6}}=6$ (days)",Workload-Time-Speed,No,1
2214,10943,a retailer buys a radio for rs 225 . his overhead expenses are rs 20 . he sellis the radio for rs 300 . the profit percent of the retailer is,gain,4,\begin{aligned} & \frac{300-(225+20)}{300} \\ & =\frac{55}{300} \\ & = 18.33 \% \end{aligned},Profit,Profit,0
2215,2047,"the length of a rectangular floor is more than its breadth by 200 % . if rs . 441 is required to paint the floor at the rate of rs . 3 / sq m , what would be the length of the floor ?",gain,4,"assume the width $x$, then the length $3 x$ $$ \begin{gathered} 3 x^2 \times 3=44 \\ 9 x^2=441 \\ x^2=49 \end{gathered} $$ $x= \pm ?$ (negative isn't suitable) Ans: 21 feet",Area Calculation && Ratio Calculation,No,1
2216,11798,a train 300 m long can cross an electric pole in 30 sec and then find the speed of the train ?,physics,4,\frac{300}{30}=10(\mathrm{~m} / \mathrm{s}),Distance-Time-Speed,No,1
2217,1635,"in a certain game , a large container is filled with red , yellow , green , and blue beads worth , respectively , 7 , 5 , 3 , and 2 points each . a number of beads are then removed from the container . if the product of the point values of the removed beads is 30 , 870000 , how many red beads were removed ?",general,4,30870000 \div 7^3 = 90000,Prime Factorization,No,1
2218,1756,"a taxi leaves point a 2 hours after a bus left the same spot . the bus is traveling 20 mph slower than the taxi . find the speed of the taxi , if it overtakes the bus in two hours .",physics,4,"assume the speed of taxi $x$, then the speed of bus $(x-20)$ relative speed $=20$ $\Rightarrow$ the distance r the taxi need to catch up $$ =(x-20) \times 2 $$ $$ \frac{(x-20) \times 2}{20}=2 $$ $2 x-40=40$ $x=40 \mathrm{mph}$",Distance-Time-Speed,No,1
2219,11515,"if a rectangular billboard has an area of 91 square feet and a perimeter of 40 feet , what is the length of each of the shorter sides ?",geometry,4,"assume the shorter side $X$, longer side $20-X$ $$ \begin{aligned} & x(20-x)=91 \\ & 20 x-x^2=91 \\ & x^2-20 x+91=0 \\ & (x-7)(x-13)=0 \\ & x=7 \text { or } 13 \text { (13 int suitable) } \\ & \text { Ans= feet } \end{aligned} $$",Perimeter Calculation && Area Calculation,No,1
2220,1931,"the length of rectangle is thrice its breadth and its perimeter is 72 m , find the area of the rectangle ?",geometry,4,"assume breadth $x$, length $3 x$ $$ \begin{aligned} & x+3 x=\frac{12}{2} \\ & x=9 \\ & 9 \times 27=243\left(\mathrm{~m}^2\right) \end{aligned} $$",Perimeter Calculation && Area Calculation,No,1
2221,11962,"a man sitting in a train which is travelling at 20 kmph observes that a goods train , travelling in opposite direction , takes 9 seconds to pass him . if the goods train is 280 m long , find its speed ?",physics,4,assume the goods train's speed $X \mathrm{ka} / \mathrm{hr}$ $$ \begin{aligned} & 9 \text { sec }=\frac{9}{3600} \mathrm{hr}=\frac{1}{400} \mathrm{hr} \\ & \frac{0.28}{20+x}=\frac{1}{400} \\ & 20+x=112 \\ & x=92(\mathrm{~km} / \mathrm{hr}) \end{aligned} $$,Distance-Time-Speed && Relative Speed && Unit Conversion,No,1
2222,11236,the total of 342 of 20 paise and 25 paise make a sum of rs . 71 . the no of 20 paise coins is,general,4,"assume there are $x$ 2. parse coins, $y \quad 25$ praise coins $$ \begin{aligned} & \left\{\begin{array}{l} x+y=342 \\ 20 x+25 y=7100 \end{array}\right. \\ & 5 y=26 x+20 y=8840 \\ & y=52 \\ & x=290(\text { coins }) \end{aligned} $$",Unit Conversion && Expression and Operations with Symbols,No,1
2223,1575,"in a group of ducks and cows , the total number of legs are 8 more than twice the no . of heads . find the total no . of buffaloes .",general,4,"assume there are $x$ cows, $y$ ducks $$ \begin{aligned} & 2(x+y)=8(4 x+2 y) \\ & 2 x+2 y=32 x+16 y \\ & 30 x-14 y=0 \end{aligned} $$ Ans: there are more than one answer",Expression and Operations with Symbols,No,0
2224,11838,"in what time will a train 90 m long cross an electric pole , it its speed be 72 km / hr ?",physics,4,\begin{aligned} & 12 \mathrm{~km} / \mathrm{hr} \\ = & \frac{12000}{3600} \mathrm{~m} / \mathrm{s} \\ = & 10 \mathrm{~m} / \mathrm{s} \\ & \frac{90}{20} \\ = & 4.5(\mathrm{~s}) \end{aligned},Distance-Time-Speed && Unit Conversion,No,1
2225,1700,"if xy = 4 , x / y = 16 , for positive numbers x and y , y = ?",general,4,\begin{aligned} & \left\{\begin{array}{l} x y=4 \\ \frac{x}{y}=16 \end{array}\right. \\ & \Rightarrow x^2=64 \\ & x= \pm 8 \text { (negative isn't suitable) } \\ & \therefore y=\frac{4}{8} \\ & =\frac{1}{2} \end{aligned},Expression and Operations with Symbols,No,1
2226,12326,two numbers have a h . c . f of 9 and a product of two numbers is 1800 . find the l . c . m of the two numbers ?,physics,4,"two numbers are: 24,75 $$ \begin{aligned} & 3 \times 8 \times 25=600 \end{aligned} $$",Greatest Common Divisor && Least Common Multiple,No,0
2227,12152,two numbers n and 12 have lcm = 42 and gcf = 6 . find n .,physics,4,\begin{aligned} & 2 \times 3 \times \frac{n}{6} \times 2=12 \\ & n=6 \end{aligned},Greatest Common Divisor && Least Common Multiple,Greatest Common Divisor && Least Common Multiple,0
2228,9921,"if a + b =  6 , and a = 10 / b , what is the value of a ^ 2 + b ^ 2 ?",general,4,\begin{aligned} & \left\{\begin{array}{l} a+b=-7 \quad \text { request: } a^2+b^2 \\ a=\frac{10}{b} \end{array}\right. \\ & \frac{10}{b}+b=-7 \\ & b^2+10 b=-7 b \\ & b^2+7 b+10 b=0 \\ & (a+b)^2=a^2+2 a b+b^2=49 \\ & a^2+2 \times \frac{10}{b} \times b+b^2=49 \\ & a^2+b^2=29 \end{aligned},Expression and Operations with Symbols,No,0
2229,11097,little roshini had $ 10.50 . he spent some money on sweets and gave to his two friends $ 3.40 each . how much money was spent for sweets ?,general,4,\begin{aligned} & 10.5-2 \times 3.4 \\ & =3.7 \text { (dollars) } \end{aligned},Basic Math Operations,No,1
2230,1541,a brick measures 20 cm * 10 cm * 7.5 cm how many bricks will be required for a wall 24 m * 2 m * 0.75 m ?,physics,4,\begin{aligned} & \frac{24 \times 2 \times 0.15 \times 100^3}{20 \times 10 \times 7.5} \\ & \frac{36 \times 10^6}{1.5 \times 10^3} \\ & =24 \times 10^3 \\ & =24000 \text { (bricks) } \end{aligned},Unit Conversion && Volume Calculation,No,1
2231,10439,"if the sum of two numbers is 22 and the sum of their squares is 460 , then the product of the numbers is",general,4,"assume they are $x, y$ $$ \begin{aligned} & \left\{\begin{array}{l} x+y=22 \\ x^2+y^2=460 \end{array}\right. \\ & (x+y)^2=x^2+2 x y+y^2=484 \\ & 2 x y=484-460=24 \\ & x y=+2 \end{aligned} $$",Square of the Sum,No,1
2232,1939,two trains 160 m and 160 m long run at the speed of 60 km / hr and 40 km / hr respectively in opposite directions on parallel tracks . the time which they take to cross each other is ?,physics,4,\begin{aligned} & 60 \mathrm{~km} / \mathrm{hr}=\frac{60000}{3600} \mathrm{~m} / \mathrm{s}=\frac{50}{3} \mathrm{~m} / \mathrm{s} \\ & 40 \mathrm{~km} / \mathrm{hr}=\frac{40000}{3600}=\frac{100}{9} \mathrm{~m} / \mathrm{s} \\ & \frac{160+160}{\frac{50}{3}+\frac{100}{9}} \\ & =\frac{320}{\frac{250}{9}} \\ & =\frac{320 \times 9}{250} \\ & =\frac{288}{25}=11.52 \text { (seconds) } \end{aligned},Distance-Time-Speed && Relative Speed && Unit Conversion,No,1
2233,9257,"in an election , candidate douglas won 66 percent of the total vote in counties x and y . he won 74 percent of the vote in county x . if the ratio of people who voted in county x to county y is 2 : 1 , what percent of the vote did candidate douglas win in county y ?",general,4,"assume people who voted in $x$ country $2 x$, $y$ country $x$ all Douglas won $$ \begin{aligned} & =(2 x+X) \times 66 \% \\ & =1.98 X \end{aligned} $$ won in $X$ country: $2 \times \times 74 \%$ $$ =1.48 x $$ percentage of the voter that Douglas $$ \text { win in country } \begin{aligned} y & =\frac{1.58 x-1.48 x}{x} \\ & =50 \% \end{aligned} $$",Ratio Calculation,No,1
2234,9797,a train is 360 meter long is running at a speed of 90 km / hour . in what time will it pass a bridge of 140 meter length ?,physics,4,\begin{aligned} & 360+140=500 \mathrm{~m} \\ & 90 \mathrm{~km} / \mathrm{hr}=\frac{90000}{60060} \mathrm{~m} / \mathrm{sec}=25 \mathrm{~m} / \mathrm{s} \\ & \frac{500}{15}=20 \text { (s) } \end{aligned},Distance-Time-Speed && Unit Conversion,No,1
2235,11429,"set s consists of integers { 6 , 7 , 10 , 12 , 15 } . if integer n is included in the set , the average ( arithmetic mean ) of set s will increase by 40 % . what is the value of integer n ?",general,4,\begin{aligned} & \frac{6+7+(0+12+15+n}{6}=1.4\left(\frac{6+7+10+12+15}{5}\right) \\ & \frac{50+n}{6}=14 \\ & n=34 \end{aligned},Arithmetic Mean && Ratio Calculation,No,1
2236,1785,"the ratio of spinsters to cats is 2 to 7 . if there are 40 more cats than spinsters , how many spinsters are there ?",other,4,assume there are $2 x$ spinsters. $1 x$ cats $$ \begin{aligned} & 7 x-2 x=40 \\ & x=8 \\ & \text { Ans }=16 \text { spinsters } \end{aligned} $$,Expression and Operations with Symbols,No,1
2237,10977,a cube is painted red on all faces . it is then cut into 27 equal smaller cubes . how many v cubes are painted on only 2 faces ?,geometry,4,\begin{aligned} &27=3^3\\ &3 \times 4=12 \text { (lubes) } \end{aligned},Volume Calculation && Solid Geometry,No,1
2238,10475,the profit earned by selling an article for rs . 753 is equal to the loss incurred when the same article is sold for rs . 455 . what should be the sale price for making 50 % profit ?,gain,4,assumes the cost $x$ $$ \begin{aligned} & 753-x=x-455 \\ & 2 x=1208 \\ & x=604 \end{aligned} $$ assume the selling price $y$ $$ \begin{aligned} & \frac{y-604}{y}=50 \% \\ & 0.5 y=604 \\ & y=1208(rs) \end{aligned} $$,Profit && Loss,Profit,0
2239,1860,"a certain car uses one gallon of gasoline every 32 miles when it travels on highway , and one gallon of gasoline every 20 miles when it travels in the city . when a car travels 4 miles on highway and 4 additional miles in the city , it uses what percent more gasoline than if it travels 8 miles on the highway ?",general,4,city $=\frac{1}{20}$ gallon/mile highway: $\frac{1}{32}$ gallon/mile $$ \begin{aligned} & 4 \times \frac{1}{20}+4 \times \frac{1}{32} \\ & =\frac{1}{5}+\frac{1}{8} \\ & \begin{array}{l} =\frac{13}{40} \text { gallon }   8 \times \frac{1}{32} \end{array} \\ &  \text { gallon }=\frac{\frac{1}{40}}{\frac{1}{4}}  \\ & \end{aligned} $$ \frac{\left(\frac{13}{40}-\frac{1}{4}\right)}{\frac{1}{4}} \\ =\frac{1}{4}  \\ =10 \%,Distance-Time-Speed,No,0
2240,9884,"if the largest 3 digit number is subtracted from the smallest 5 digit number , then the remainder is",general,4,Smallest 5 digit number 210000 largest 3 digit number = 999 $10000-999$ $$ =9001 $$,Basic Math Operations,No,1
2241,9760,"the rate of spin of a certain gyroscope doubled every 10 seconds from the moment a particular stopwatch started . if after a minute and a half the gyroscope reached a speed of 800 meters per second , what was the speed , in meters per second , when the stopwatch was started ?",physics,4,$$ \begin{aligned} & \operatorname{lmin} 30 \text { sec }=90 \mathrm{sec} \\ & \frac{90}{10}=9 \text { (time) } \end{aligned} $$ assume the original speed $\chi \mathrm{m} / \mathrm{s}$ $$ \begin{aligned} & x \times 2^9=800 \\ & x \times 514=800 \\ & x=.1 .56(\mathrm{~m} / \mathrm{s}) \end{aligned} $$,Geometric Sequence/Series && Unit Conversion,No,1
2242,10908,there is 60 lit of milk and water in which milk forms 84 % . howmuch water must be added to this solution to make it solution in which milk forms 50 %,gain,4,there is $60 \times 84 \%=50.4$ lit milk and $60-50.4=9.6$ lit water assume $x$ lit water is added $$ \begin{aligned} & \frac{50.4}{60+x}=50 \% \\ & 20.4=0.5 x \\ & x=40.8 \text { (lit) } \end{aligned} $$,Mixed Solution Concentration,No,1
2243,10324,"a particular store purchased a stock of turtleneck sweaters and marked up its cost by 20 % . during the new year season , it further marked up its prices by 25 % of the original retail price . in february , the store then offered a discount of 9 % . what was its profit on the items sold in february ?",gain,4,assume the original price $x$ $$ \begin{aligned} & x \times(1+20 \%) \times(1+25 \%) \times(1-9 \%) \\ = & x \times 1.2 \times 1.25 \times 0.91 \\ = & 1.365 x \\ & \frac{1.365 x-x}{x} \\ = & 36.5 \% \end{aligned} $$,Profit && Ratio Calculation && Discount Problem,No,1
2244,10484,50 is what percent of 125 ?,gain,4,\frac{50^2}{1255}=40 \%,Basic Math Operations,No,1
2245,10161,"two trains are running in opposite directions in the same speed . the length of each train is 120 meter . if they cross each other in 36 seconds , the speed of each train ( in km / hr ) is",physics,4,assume the speed of a train $x \mathrm{~m} / \mathrm{s}$ $$ \begin{aligned} \frac{2 \times 120}{2 x}=36 \\ 72 x=240 \\ x=\frac{10}{3} \mathrm{~m} / \mathrm{s} \\ =\frac{10}{3} \times \frac{\frac{1}{1000}}{\frac{1}{60 \times 6}} \\ =\frac{18}{3} \times \frac{12600}{1800} \\ =12(\mathrm{~km} / \mathrm{hr}) \end{aligned} $$,Distance-Time-Speed && Relative Speed && Unit Conversion,No,1
2246,11665,"at a restaurant , glasses are stored in two different - sized boxes . one box contains 12 glasses , and the other contains 16 glasses . if the average number of glasses per box is 15 , and there are 16 more of the larger boxes , what is the total number of glasses t at the restaurant ? ( assume that all boxes are filled to capacity . )",general,4,assume there are $x$ smaller boxes $$ \begin{aligned} & \frac{12 \times x+16 \times 17}{(x+17)}=15 \\ & 12 x+272=15 x+255 \\ & 3 x=17 \\ & x=\frac{17}{3} \end{aligned} $$,Arithmetic Mean,No,0
2247,9770,"a circular well with a diameter of 2 metres , is dug to a depth of 8 metres . what is the volume of the earth dug out ?",geometry,4,\begin{aligned} & \left(\frac{2}{2}\right)^2 \times 3.14 \times 8 \\ & =25.12\left(\mathrm{~m}^2\right) \end{aligned},Volume Calculation,No,1
2248,1490,the simple interest in 14 months on a certain sum at the rate of 6 per cent per annum is 250 more than the interest on the same sum at the rate of 8 per cent in 8 months . how much amount was borrowed ?,general,4,assume the amount of money $X$ $$ \begin{aligned} & x \times(1+6 \% \times 14)+250=x \times(1+8 \% \times 14) \\ & 1.84 x+250=2.12 x \\ & 0.28 x=250 \\ & x=250 \times \frac{100}{28} 7 \\ & =\frac{6250}{7} \\ & =892.86 \end{aligned} $$,Simple Interest,No,0
2249,11039,"the average salary / head of allthe workers in a workshop is rs . 750 , if the average salary / head of 5 technician is rs . 900 and the average salary / head of the rest is rs . 700 , the total no . of workers in the work - shop is ?",general,4,assume there are X workers $$ \begin{aligned} & \frac{5 \times 900+(x-5) \times 700}{x}=750 \\ & 4500+700 x-3500=750 x \\ & 50 x=1000 \\ & x=20 \text { (workers) } x \end{aligned} $$,Arithmetic Mean,No,1
2250,10945,"anne bought doughnuts for a class breakfast party . she bought 5 chocolate doughnuts , 6 coconut doughnuts , and 11 jam - filled doughnuts . how many doughnuts did anne buy in all ?",general,4,\begin{aligned} & 5+6+11 \\ = & 22 \text { (doughnuts) } \end{aligned},Basic Math Operations,No,1
2251,1735,if the cost price is 91 % of sp then what is the profit %,gain,4,"selling price $X$, then cost $0.91 X$ $$ \begin{aligned} & \frac{x-0.91 x}{x} \\ & =9 \% \end{aligned} $$",Profit,Profit,0
2252,9407,every second saturday and all sundays are holidays . how many working days will be there in a month of 30 days beginning on a saturday ?,physics,4,there are five Saturday and Sunday so there are $2+5=7$ holidays $$ 30-1=23 \text { (working days) } $$,Basic Math Operations,No,1
2253,10291,a 140 m long train is running at a speed of 55 km / hr . it crossed a platform of length 520 m in ?,physics,4,\begin{aligned} & 55 \mathrm{~km} / \mathrm{hr}=\frac{55}{3.6} \mathrm{~m} / \mathrm{s} \\ & \frac{140+520}{\frac{55}{3.6}} \\ & =460 \times \frac{3.6}{55} 5 \\ & =43.2 \quad \text { (s) } \end{aligned},Distance-Time-Speed && Unit Conversion,No,1
2254,11528,"tom drives from town w to town b , driving at a constant speed of 60 miles per hour . from town b tom immediately continues to town c . the distance between w and b is twice the distance between b and c . if the average speed of the whole journey was 36 mph , then what is tom ' s speed driving from b to c in miles per hour ?",physics,4,assumes the speed from $b$ to $C X \text {mph }$ $$ \begin{aligned} & \frac{60+\frac{1}{2} \times x}{2}=36 \\ & \frac{1}{2} x=12 \\ & x=24(\mathrm{mph}) \end{aligned} $$,Distance-Time-Speed,Distance-Time-Speed,0
2255,1492,"if $ 120 invested at a certain rate of simple interest amounts to $ 240 at the end of 3 years , how much will $ 150 amount to at the same rate of interest in 6 years ?",gain,4,assume the interest i $$ \begin{aligned} & 120 \times(1+i \times 3)=240 \\ & 360 i=120 \Rightarrow 720 i=240 \\ & 120 \times(1+i \times 6) \\ & =120+720 \bar{i} \\ & =120+240 \\ & =360 \end{aligned} $$,Simple Interest,No,0
2256,12163,"a , b and c enter into partnership . a invests some money at the beginning , b invests double the amount after 6 months , and c invests thrice the amount after 8 months . if the annual gain be rs . 18000 . a ' s share is ?",gain,4,\begin{aligned} & a+6 a+3 a=18000 \\ & 10 a=18000 \\ & a=1800(r s .) \end{aligned},Ratio Calculation,Ratio Calculation,0
2257,1527,"a circle graph shows how the budget of a certain company was spent : 55 percent for salaries , 9 percent for research and development , 5 percent for utilities , 4 percent for equipment , 2 percent for supplies , and the remainder for transportation . if the area of each sector of the graph is proportional to the percent of the budget it represents , how many degrees of the circle are used to represent transportation ?",geometry,4,\begin{aligned} & (1-55 \%-9 \%-5 \%-4 \%-2 \%) \times 360^{\circ} \\ & =25 \% \times 360^{\circ} \\ & =90^{\circ} \end{aligned},Ratio Calculation,No,1
2258,11378,"a light flashes every 20 seconds , how many times will it flash in ? of an hour ?",physics,4,\begin{aligned} & L_r=3600 \mathrm{~s} \\ & \frac{3600}{20}=180 \text { (times) } \end{aligned},Unit Conversion && Basic Math Operations,No,1
2259,10259,a train running at the speed of 240 km / hr crosses a pole in 21 seconds . what is the length of the train ?,physics,4,\begin{aligned} & 240 \mathrm{~km} / \mathrm{hr}=\frac{240}{3.6} \mathrm{~m} / \mathrm{s} \\ & \frac{240}{\frac{3.6}{2.2}} \times 3 / 1 \\ & =1400 \mathrm{~m} \end{aligned},Distance-Time-Speed && Unit Conversion,No,1
2260,1895,"in what time will a train 180 m long cross an electric pole , it its speed be 144 km / hr ?",physics,4,\begin{aligned} & 144 \mathrm{~km} / \mathrm{hr}=40 \mathrm{~m} / \mathrm{s} \\ & \frac{180}{40} \\ & =4.5(\mathrm{~s}) \end{aligned},Distance-Time-Speed && Unit Conversion,No,1
2261,1709,"a man purchased 3 blankets @ rs . 100 each , 4 blankets @ rs . 150 each and two blankets at a certain rate which is now slipped off from his memory . but he remembers that the average price of the blankets was rs . 150 . find the unknown rate of two blankets ?",general,4,assume the unknown blanket's price $X$ $$ \begin{aligned} & \frac{3 \times 100+4 \times 150+2 X}{9}=150 \\ & 750+2 X=1350 \\ & x=300(\mathrm{rs} ) \end{aligned} $$,Arithmetic Mean,No,0
2262,12057,"in a recent election , geoff received 1 percent of the 6,000 votes cast . to win the election , a candidate needed to receive more than x % of the vote . if geoff needed exactly 3000 more votes to win the election , what is the value of x ?",gain,4,\begin{aligned} & (x \%-1 \%) \times 6000=3000 \\ & 6000 \times x \%=2940 \\ & x \%=\frac{2940}{6000} \\ & x=49 \end{aligned},Ratio Calculation,No,0
2263,9404,the average salary of all the workers in a workshop is rs . 8000 . the average salary of 7 technicians is rs . 12000 and the average salary of the rest is rs . 6000 . the total number of workers in the workshop is :,general,4,assumes there are X workers $$ \begin{aligned} & \frac{7 \times 12000+(x-7) \times 6000}{x}=8000 \\ & 84000+6000 x-42000=8000 x \\ & 2000 x=42000 \\ & x=21 \text { (workers) } \end{aligned} $$,Arithmetic Mean,No,1
2264,11774,"if a and b are the two values of t that satisfy the equation t ^ 2 璽   12 t + 20 = 0 , with a > b , what is the value of a 璽   b ?",general,4,"\begin{aligned} & t^2-12 t+20=0 \\ & (t-2)(t-10)=0 \\ & t=2,10 \\ & \Rightarrow a=10, b^2 2 \\ & a-b=8 \end{aligned}",Factorization of Polynomials,No,1
2265,10202,3 / 4 of 1 / 2 of 2 / 5 of 5060 = ?,general,4,\begin{aligned} &5060 \times \frac{x}{5} \times \frac{1}{x} \times \frac{3}{4}\\ &=159 \end{aligned},Basic Math Operations,No,1
